folder_id,chinese_name,english_name,material_category
001,紅白塑膠袋,Red and white plastic bag,Plastic
002,髒髒塑膠袋,Dirty plastic bag,Plastic
003,安全帽,Safety helmet,Mixed
004,塑膠飲料杯,Plastic drink cup,Plastic
005,紙飲料杯,Paper drink cup,Paper
006,保麗龍飲料杯,Styrofoam drink cup,Styrofoam
007,紙便當盒,Paper lunch box,Paper
008,電子發票,Electronic receipt,Paper
009,袋裝洋芋片,Bagged potato chips,Mixed
010,橡皮筋,Rubber band,Rubber
011,罐裝洋芋片,Canned potato chips,Metal
012,披薩盒,Pizza box,Paper
013,輕便雨衣,Lightweight raincoat,Textile
014,瓷器,Ceramic,Ceramic
015,手提紙袋,Paper shopping bag,Paper
016,梳子,Comb,Plastic
017,沐浴乳瓶罐,Shower gel bottle,Mixed
018,醫療口罩,Medical mask,Textile
019,網購破壞袋,Online shopping damaged bag,Plastic
022,塑膠湯匙,Plastic spoon,Plastic
023,透明雞蛋盒,Transparent egg box,Plastic
024,原子筆,Ballpoint pen,Mixed
025,絨毛玩偶,Plush toy,Textile
026,洗面乳,Face wash,Mixed
028,洋蔥網袋,Onion mesh bag,Plastic
029,充電線,Charging cable,Mixed
030,盆栽,Potted plant,Organic
031,養樂多,Yakult,Mixed
032,廣告傳單,Advertising flyer,Paper
033,薄塑膠盒,Thin plastic box,Plastic
034,木製品,Wooden product,Wood
035,塑膠餐盒,Plastic meal box,Plastic
036,奶油球,Creamer ball,Mixed
038,瑜珈墊,Yoga mat,Rubber
039,馬桶刷,Toilet brush,Mixed
040,紙尿布,Diaper,Mixed
041,水果網套,Fruit mesh bag,Plastic
042,牛奶盒,Milk carton,Mixed
043,免洗筷,Disposable chopsticks,Wood
044,濾水器濾芯,Water filter cartridge,Mixed
045,耳機,Earphone,Mixed
046,手機殼,Phone case,Plastic
048,鏡子,Mirror,Glass
049,泡泡紙,Bubble wrap,Plastic
052,碎紙,Shredded paper,Paper
