model_name,true_label,pred_label,count
aug_off_resnet50_finetuned,Plastic,Mixed,15
aug_off_resnet50_finetuned,Mixed,Plastic,9
aug_off_resnet50_finetuned,Mixed,Paper,9
aug_off_resnet50_finetuned,Paper,Mixed,9
aug_off_resnet50_finetuned,Plastic,Paper,8
aug_off_resnet50_finetuned,Plastic,Textile,8
aug_off_resnet50_finetuned,Mixed,Textile,6
aug_off_resnet50_finetuned,Paper,Plastic,6
aug_off_resnet50_finetuned,Ceramic,Mixed,5
aug_off_resnet50_finetuned,Mixed,Metal,4
aug_off_resnet50_finetuned,Rubber,Paper,4
aug_off_resnet50_finetuned,Textile,Plastic,3
aug_off_resnet50_finetuned,Plastic,Wood,3
aug_off_resnet50_finetuned,Ceramic,Paper,2
aug_off_resnet50_finetuned,Mixed,Ceramic,2
aug_off_resnet50_finetuned,Textile,Mixed,2
aug_off_resnet50_finetuned,Textile,Paper,2
aug_off_resnet50_finetuned,Paper,Ceramic,2
aug_off_resnet50_finetuned,Paper,Styrofoam,2
aug_off_resnet50_finetuned,Plastic,Ceramic,2
aug_off_resnet50_finetuned,Paper,Textile,2
aug_off_resnet50_finetuned,Mixed,Wood,2
aug_off_resnet50_finetuned,Mixed,Rubber,2
aug_off_resnet50_finetuned,Styrofoam,Paper,2
aug_off_resnet50_finetuned,Ceramic,Plastic,1
aug_off_resnet50_finetuned,Glass,Plastic,1
aug_off_resnet50_finetuned,Paper,Glass,1
aug_off_resnet50_finetuned,Plastic,Rubber,1
aug_off_resnet50_finetuned,Paper,Rubber,1
aug_off_resnet50_finetuned,Organic,Wood,1
aug_off_resnet50_finetuned,Rubber,Mixed,1
aug_off_resnet50_finetuned,Styrofoam,Mixed,1
aug_off_resnet50_finetuned,Rubber,Plastic,1
aug_off_resnet50_finetuned,Plastic,Styrofoam,1
aug_off_resnet50_finetuned,Styrofoam,Plastic,1
aug_off_resnet50_finetuned,Textile,Organic,1
aug_off_resnet50_finetuned,Textile,Wood,1
aug_off_resnet50_finetuned,Wood,Paper,1
aug_off_resnet50_finetuned,Wood,Textile,1
