bin,bin_lower,bin_upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,1,0.2772452235221863,0.0,-0.2772452235221863
3,0.30000000000000004,0.4,10,0.3723556101322174,0.30000001192092896,-0.07235559821128845
4,0.4,0.5,31,0.45626455545425415,0.4838709533214569,0.02760639786720276
5,0.5,0.6000000000000001,40,0.5566902160644531,0.5249999761581421,-0.031690239906311035
6,0.6000000000000001,0.7000000000000001,46,0.6536025404930115,0.54347825050354,-0.11012428998947144
7,0.7000000000000001,0.8,56,0.7542548775672913,0.5892857313156128,-0.16496914625167847
8,0.8,0.9,88,0.8554133772850037,0.8181818127632141,-0.03723156452178955
9,0.9,1.0,922,0.9862029552459717,0.9848155975341797,-0.0013873577117919922
